"","sites","siteID"
"385","Beau Lake SW10191",385
"386","Beau Lake SW12346",386
"387","Beau Lake SW14365",387
"388","Beau Lake SW4723",388
"389","Beau Lake SW8357",389
"390","Beaver Pond SE CE1940",390
"391","Beaver Pond SE CE47189x",391
"392","Beaver Pond SE CE5188",392
"393","Beaver Pond SE CE52590x",393
"394","Beaver Pond SE CE5366x",394
"395","Beaver Pond SE NW10729",395
"396","Beaver Pond SE NW12796",396
"397","Beaver Pond SE NW53493x",397
"398","Beaver Pond SE NW5511",398
"399","Beech Hill Pond CE11983",399
"400","Beech Hill Pond CE13338x",400
"401","Beech Hill Pond CE14508x",401
"402","Beech Hill Pond CE62410x",402
"403","Beech Hill Pond CE6318",403
"404","Beech Hill Pond NW11633",404
"405","Beech Hill Pond NW15139x",405
"406","Beech Hill Pond NW32165x",406
"407","Beech Hill Pond NW3335",407
"408","Beech Hill Pond NW8257",408
"409","Beech Hill Pond SW12643",409
"410","Beech Hill Pond SW13875",410
"411","Beech Hill Pond SW17904",411
"412","Beech Hill Pond SW20739x",412
"413","Beech Hill Pond SW343",413
"414","Beetle Mtn CE16471",414
"415","Beetle Mtn CE5700",415
"416","Beetle Mtn CE6901",416
"417","Beetle Mtn CE764",417
"418","Beetle Mtn CE8027",418
"419","Beetle Mtn CW15265",419
"420","Beetle Mtn CW2318",420
"421","Beetle Mtn CW6867",421
"422","Beetle Mtn CW9356",422
"423","Beetle Mtn CW96",423
"424","Belfast CE12339",424
"425","Belfast CE18856x",425
"426","Belfast CE3300",426
"427","Belfast CE4388",427
"428","Belfast CE973",428
"429","Belfast NW15753",429
"430","Belfast NW17871x",430
"431","Belfast NW18035",431
"432","Belfast NW1981",432
"433","Belfast NW5740",433
"434","Belfast SW15623",434
"435","Belfast SW16859",435
"436","Belfast SW4484",436
"437","Belfast SW547",437
"438","Belfast SW9252",438
"439","Belgrade CE1156",439
"440","Belgrade CE16774",440
"441","Belgrade CE17742x",441
"442","Belgrade CE31665x",442
"443","Belgrade CE9642",443
"444","Belgrade Lakes CE11939",444
"445","Belgrade Lakes CE6036x",445
"446","Belgrade Lakes CE6859",446
"447","Belgrade Lakes CE713",447
"448","Belgrade Lakes CE955",448
"449","Belgrade Lakes NW1193",449
"450","Belgrade Lakes NW1322",450
"451","Belgrade Lakes NW4567",451
"452","Belgrade Lakes NW6341x",452
"453","Belgrade Lakes NW7913",453
"454","Belgrade Lakes SW10824",454
"455","Belgrade Lakes SW15684",455
"456","Belgrade Lakes SW4480",456
"457","Belgrade Lakes SW8693",457
"458","Belgrade Lakes SW8924",458
"459","Belgrade NW17943",459
"460","Belgrade NW3244",460
"461","Belgrade NW6292",461
"462","Belgrade NW6903",462
"463","Belgrade NW7968",463
"464","Belgrade SW11456",464
"465","Belgrade SW13160",465
"466","Belgrade SW3686",466
"467","Belgrade SW6645",467
"468","Belgrade SW9363",468
"469","Benedicta CE14707",469
"470","Benedicta CE14744",470
"471","Benedicta CE1610",471
"472","Benedicta CE3229",472
"473","Benedicta CE750",473
"474","Benedicta NW18200",474
"475","Benedicta NW2051x",475
"476","Benedicta NW33558x",476
"477","Benedicta NW3649",477
"478","Benedicta NW7780",478
"479","Benedicta SW10146",479
"480","Benedicta SW16228",480
"481","Benedicta SW16731",481
"482","Benedicta SW436",482
"483","Benedicta SW9890",483
"484","Bethel CE12412",484
"485","Bethel CE15092",485
"486","Bethel CE16555",486
"487","Bethel CE18137",487
"488","Bethel CE5306",488
"489","Bethel NW10711",489
"490","Bethel NW17484",490
"491","Bethel NW7069",491
"492","Bethel NW733",492
"493","Bethel NW8831",493
"494","Bethel SW10338",494
"495","Bethel SW14187",495
"496","Bethel SW5221",496
"497","Bethel SW5541",497
"498","Bethel SW6947",498
"499","Biddeford CE10020",499
"500","Biddeford CE3768",500
"501","Biddeford CE4227",501
"502","Biddeford CE8920",502
"503","Biddeford CE9387",503
"504","Biddeford NW2485",504
"505","Biddeford NW3740",505
"506","Biddeford NW3775",506
"507","Biddeford NW5772",507
"508","Biddeford NW9226",508
"509","Biddeford SW14965",509
"510","Biddeford SW5444",510
"511","Biddeford SW63397x",511
"512","Biddeford SW7147",512
"513","Biddeford SW8898",513
"514","Big Black Rapids NW10867",514
"515","Big Black Rapids NW13345",515
"516","Big Black Rapids NW14189",516
"517","Big Black Rapids NW1873",517
"518","Big Black Rapids NW9316",518
"519","Big Black Rapids SW16230",519
"520","Big Black Rapids SW17611",520
"521","Big Black Rapids SW4211",521
"522","Big Black Rapids SW6226",522
"523","Big Black Rapids SW9520",523
"524","Big Brook Lake CE13729",524
"525","Big Brook Lake CE17141",525
"526","Big Brook Lake CE2545",526
